,cell_specimen_id,tld1_name,imaging_depth,pref_ori_sg,pref_sf_sg,g_osi_sg,responsive_sg,depth_range,pref_phase_sg
210,570927089,Emx1-IRES-Cre,175.0,90.0,0.02,0.586306245295,False,100.0,0.75
211,570927079,Emx1-IRES-Cre,175.0,0.0,0.04,0.892481981353,True,100.0,0.25
214,570929186,Emx1-IRES-Cre,175.0,120.0,0.32,0.843537872314,False,100.0,0.75
215,570929191,Emx1-IRES-Cre,175.0,30.0,0.02,0.912376745492,True,100.0,0.25
216,570927682,Emx1-IRES-Cre,175.0,60.0,0.08,0.718136548884,True,100.0,0.0
217,570927714,Emx1-IRES-Cre,175.0,30.0,0.02,0.41587774442,False,100.0,0.75
219,570927687,Emx1-IRES-Cre,175.0,0.0,0.04,0.863692147354,True,100.0,0.75
223,570927288,Emx1-IRES-Cre,175.0,120.0,0.02,0.885004832044,False,100.0,0.25
224,570928927,Emx1-IRES-Cre,175.0,90.0,0.04,0.893399638646,True,100.0,0.0
225,570926982,Emx1-IRES-Cre,175.0,60.0,0.02,0.586133001221,False,100.0,0.25
228,570928028,Emx1-IRES-Cre,175.0,30.0,0.04,0.78038983849,False,100.0,0.0
229,570928037,Emx1-IRES-Cre,175.0,150.0,0.02,0.497505433414,False,100.0,0.25
230,570927984,Emx1-IRES-Cre,175.0,120.0,0.32,0.753086355389,False,100.0,0.5
232,570928033,Emx1-IRES-Cre,175.0,150.0,0.32,0.497878019014,False,100.0,0.5
233,570927991,Emx1-IRES-Cre,175.0,120.0,0.04,0.563595860947,False,100.0,0.0
236,570928143,Emx1-IRES-Cre,175.0,150.0,0.08,0.801236703248,False,100.0,0.5
237,570928532,Emx1-IRES-Cre,175.0,150.0,0.02,0.413250400875,True,100.0,0.75
238,570928542,Emx1-IRES-Cre,175.0,150.0,0.02,0.767496482628,False,100.0,0.5
239,570928537,Emx1-IRES-Cre,175.0,0.0,0.32,0.50270474804,True,100.0,0.0
240,570928527,Emx1-IRES-Cre,175.0,30.0,0.04,0.661716000645,False,100.0,0.75
243,589227679,Emx1-IRES-Cre,175.0,90.0,0.02,0.740984964117,True,100.0,0.25
245,589228025,Emx1-IRES-Cre,175.0,150.0,0.02,0.742810663768,False,100.0,0.5
249,570928415,Emx1-IRES-Cre,175.0,90.0,0.08,0.81804754656,True,100.0,0.0
250,570928383,Emx1-IRES-Cre,175.0,60.0,0.02,0.160439367142,False,100.0,0.0
252,570926659,Emx1-IRES-Cre,175.0,0.0,0.02,0.832520146436,False,100.0,0.0
253,570928397,Emx1-IRES-Cre,175.0,30.0,0.16,0.31851383713,False,100.0,0.25
254,570928427,Emx1-IRES-Cre,175.0,0.0,0.02,0.6595831895,True,100.0,0.5
255,570928431,Emx1-IRES-Cre,175.0,0.0,0.32,0.218112210891,False,100.0,0.5
256,570926654,Emx1-IRES-Cre,175.0,90.0,0.08,0.818487534025,False,100.0,0.0
257,589227767,Emx1-IRES-Cre,175.0,90.0,0.32,0.693126678725,False,100.0,0.75
259,589227733,Emx1-IRES-Cre,175.0,0.0,0.04,0.344216673788,False,100.0,0.0
260,589227784,Emx1-IRES-Cre,175.0,90.0,0.04,0.435371854791,False,100.0,0.0
261,589227813,Emx1-IRES-Cre,175.0,30.0,0.02,0.344718656092,False,100.0,0.0
262,589227798,Emx1-IRES-Cre,175.0,30.0,0.02,0.791269513268,False,100.0,0.25
263,589227826,Emx1-IRES-Cre,175.0,0.0,0.08,0.746974563998,False,100.0,0.0
264,570927339,Emx1-IRES-Cre,175.0,0.0,0.04,0.730311411895,True,100.0,0.5
265,570928916,Emx1-IRES-Cre,175.0,60.0,0.16,0.657340295209,False,100.0,0.25
266,570928918,Emx1-IRES-Cre,175.0,150.0,0.32,0.20966645546,True,100.0,0.75
268,570928935,Emx1-IRES-Cre,175.0,30.0,0.02,0.628147362119,False,100.0,0.25
270,570928905,Emx1-IRES-Cre,175.0,30.0,0.02,0.811664074023,True,100.0,0.25
271,570928909,Emx1-IRES-Cre,175.0,60.0,0.02,0.636580998652,False,100.0,0.75
272,570928901,Emx1-IRES-Cre,175.0,0.0,0.02,0.662087839179,True,100.0,0.0
